datetime,PlotPoints,Message,Latitude,Longitude
6/20/2017 10:19,0-2572498,UNLIMITED-TRACK,32.59621,-117.35252
6/20/2017 10:16,0-2573760,UNLIMITED-TRACK,32.59403,-117.34897
6/20/2017 10:15,0-2574334,UNLIMITED-TRACK,32.58882,-117.34755
6/20/2017 10:15,0-2573891,UNLIMITED-TRACK,32.5967,-117.35248
6/20/2017 10:14,0-2572498,UNLIMITED-TRACK,32.59635,-117.35269
6/20/2017 10:11,0-2573760,UNLIMITED-TRACK,32.59438,-117.3493
6/20/2017 10:10,0-2574334,UNLIMITED-TRACK,32.58939,-117.34795
6/20/2017 10:10,0-2573891,UNLIMITED-TRACK,32.59682,-117.35272
6/20/2017 10:09,0-2572498,UNLIMITED-TRACK,32.59649,-117.35289
6/20/2017 10:06,0-2573760,UNLIMITED-TRACK,32.59471,-117.34962
6/20/2017 10:05,0-2574334,UNLIMITED-TRACK,32.58998,-117.3484
6/20/2017 10:05,0-2573891,UNLIMITED-TRACK,32.59697,-117.35294
6/20/2017 10:04,0-2572498,UNLIMITED-TRACK,32.59664,-117.3531
6/20/2017 10:01,0-2573760,UNLIMITED-TRACK,32.59506,-117.34995
6/20/2017 10:00,0-2574334,UNLIMITED-TRACK,32.59061,-117.34882
6/20/2017 10:00,0-2573891,UNLIMITED-TRACK,32.59715,-117.35312
6/20/2017 9:59,0-2572498,UNLIMITED-TRACK,32.59681,-117.35327
6/20/2017 9:57,0-2573760,UNLIMITED-TRACK,32.59538,-117.35023
6/20/2017 9:55,0-2574334,UNLIMITED-TRACK,32.59121,-117.34924
6/20/2017 9:55,0-2573891,UNLIMITED-TRACK,32.59738,-117.35327
6/20/2017 9:54,0-2572498,UNLIMITED-TRACK,32.59702,-117.35341
6/20/2017 9:51,0-2573760,UNLIMITED-TRACK,32.59573,-117.35057
6/20/2017 9:50,0-2574334,UNLIMITED-TRACK,32.59178,-117.34969
6/20/2017 9:50,0-2573891,UNLIMITED-TRACK,32.59757,-117.35342
6/20/2017 9:50,0-2572498,UNLIMITED-TRACK,32.59718,-117.35352
6/20/2017 9:46,0-2573760,UNLIMITED-TRACK,32.59604,-117.35088
6/20/2017 9:45,0-2574334,UNLIMITED-TRACK,32.59237,-117.35013
6/20/2017 9:45,0-2573891,UNLIMITED-TRACK,32.59773,-117.35359
6/20/2017 9:44,0-2572498,UNLIMITED-TRACK,32.59738,-117.35367
6/20/2017 9:41,0-2573760,UNLIMITED-TRACK,32.59633,-117.3512
6/20/2017 9:41,0-2573891,UNLIMITED-TRACK,32.59789,-117.35374
6/20/2017 9:40,0-2574334,UNLIMITED-TRACK,32.59297,-117.35057
6/20/2017 9:39,0-2572498,UNLIMITED-TRACK,32.59755,-117.35384
6/20/2017 9:36,0-2573760,UNLIMITED-TRACK,32.59664,-117.35153
6/20/2017 9:35,0-2574334,UNLIMITED-TRACK,32.59355,-117.35106
6/20/2017 9:35,0-2573891,UNLIMITED-TRACK,32.59807,-117.35394
6/20/2017 9:34,0-2572498,UNLIMITED-TRACK,32.59772,-117.35396
6/20/2017 9:31,0-2573760,UNLIMITED-TRACK,32.59692,-117.3519
6/20/2017 9:31,0-2574334,UNLIMITED-TRACK,32.59403,-117.35152
6/20/2017 9:30,0-2573891,UNLIMITED-TRACK,32.59823,-117.35411
6/20/2017 9:29,0-2572498,UNLIMITED-TRACK,32.59789,-117.3541
6/20/2017 9:26,0-2573760,UNLIMITED-TRACK,32.59719,-117.35231
6/20/2017 9:25,0-2574334,UNLIMITED-TRACK,32.59464,-117.35205
6/20/2017 9:25,0-2573891,UNLIMITED-TRACK,32.59841,-117.35426
6/20/2017 9:24,0-2572498,UNLIMITED-TRACK,32.59807,-117.3542
6/20/2017 9:21,0-2573760,UNLIMITED-TRACK,32.59748,-117.35269
6/20/2017 9:20,0-2574334,UNLIMITED-TRACK,32.59521,-117.35252
6/20/2017 9:20,0-2573891,UNLIMITED-TRACK,32.59857,-117.35439
6/20/2017 9:19,0-2572498,UNLIMITED-TRACK,32.59826,-117.35432
6/20/2017 9:16,0-2573760,UNLIMITED-TRACK,32.59773,-117.35312
6/20/2017 9:15,0-2574334,UNLIMITED-TRACK,32.59583,-117.353
6/20/2017 9:15,0-2573891,UNLIMITED-TRACK,32.59873,-117.35457
6/20/2017 9:14,0-2572498,UNLIMITED-TRACK,32.59842,-117.35448
6/20/2017 9:11,0-2573760,UNLIMITED-TRACK,32.59799,-117.35355
6/20/2017 9:10,0-2574334,UNLIMITED-TRACK,32.59638,-117.35341
6/20/2017 9:10,0-2573891,UNLIMITED-TRACK,32.59893,-117.35471
6/20/2017 9:09,0-2572498,UNLIMITED-TRACK,32.59864,-117.35458
